Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP▼
57,Shane Battier\battish01,SG,31,HOU,67,2168,11.1,.541,.624,.237,3.8,13.1,8.2,10.9,1.2,2.6,11.5,11.4,,2.2,2.1,4.3,.095,,0.1,1.9,2.1,2.2
58,Vince Carter\cartevi01,SG,33,ORL,75,2310,17.1,.541,.319,.301,1.7,12.6,7.3,17.8,1.2,0.6,8.4,25.2,,4.4,3.0,7.4,.154,,1.9,-0.1,1.7,2.2
59,Stephen Curry\curryst01,PG,21,GSW,80,2896,16.3,.568,.332,.175,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,,3.0,1.6,4.7,.077,,1.8,-0.7,1.0,2.2
60,Stephen Jackson\jacksst02,SG-PF,31,TOT,81,3129,15.6,.518,.277,.306,3.0,12.2,7.7,17.7,2.2,1.1,13.9,27.5,,0.5,4.6,5.0,.077,,0.3,0.5,0.8,2.2
61,Joakim Noah\noahjo01,C,24,CHI,64,1925,17.9,.557,.000,.421,12.9,27.6,20.3,10.8,0.9,4.0,16.0,17.1,,2.7,3.5,6.2,.154,,-0.7,3.3,2.5,2.2
62,Zach Randolph\randoza01,PF,28,MEM,81,3051,21.2,.546,.039,.348,12.6,23.8,18.2,8.2,1.3,0.8,10.1,24.6,,7.0,2.7,9.7,.153,,1.8,-0.9,0.9,2.2
63,Mo Williams\willima01,PG,27,CLE,69,2359,16.1,.580,.434,.232,1.5,8.6,5.2,25.0,1.6,0.7,15.5,22.0,,4.0,2.7,6.7,.136,,2.5,-0.9,1.6,2.2
64,Carlos Delfino\delfica01,SF,27,MIL,75,2279,12.9,.526,.499,.163,2.4,18.0,9.8,14.0,1.8,0.7,13.2,18.0,,1.1,3.7,4.8,.101,,-0.1,1.8,1.6,2.1
65,Quentin Richardson\richaqu01,SF,29,MIA,76,2082,12.9,.572,.638,.127,3.6,17.4,10.6,7.0,1.8,0.7,9.5,14.8,,2.7,3.1,5.8,.133,,1.1,0.9,2.0,2.1
66,John Salmons\salmojo01,SG,30,TOT,81,2824,14.7,.553,.312,.308,1.4,9.4,5.4,12.9,1.8,0.7,9.9,19.9,,3.7,3.4,7.1,.121,,0.9,0.1,1.0,2.1
