Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP
jenkijo01,32.666666666666664,11.148531105990784,7.058995775729646,3.7793874807987713,0.4154857910906298,2.6999999999999997,1.1333333333333335,0.6767281105990784,0.27310867895545315,1.3127880184331797,1.2454301075268817,30.400000000000002,16.766666666666666,0.46799999999999997,0.44333333333333336,0.8436666666666667,3.0,0.0,11.36,,3.3699999999999997,30.5,36.5,10.0
jennike01,31.75,9.114383133170348,3.5348870006087174,4.50102113855958,,3.9,7.65,2.622214423235165,0.029857397504456328,3.2004115783233105,2.298827029041974,33.974999999999994,15.575000000000001,0.54225,0.47925,0.86125,4.0,0.0,,,,,,
jentch01,30.75,6.987466397849462,2.372513440860215,1.6576780913978495,,3.925,1.7,0.8930611559139785,0.13823924731182796,1.513239247311828,2.4920530913978496,22.825000000000003,8.1,0.42375,0.38575000000000004,0.7432500000000001,4.0,0.0,,,,,,
jepsele01,25.5,3.3782842157842157,0.044927294927294935,2.3846195471195473,,4.475,0.6000000000000001,0.3182234432234432,0.5273684648684649,1.1646894771894771,1.4326340326340326,14.225,5.35,0.5027499999999999,0.3333333333333333,0.5660000000000001,4.0,0.25,,,,,,
jerregr01,34.0,4.529411764705882,2.323529411764706,0.6470588235294118,1.088235294117647,3.6,0.5,0.47058823529411764,0.9705882352941176,0.5588235294117647,1.2941176470588236,17.8,5.2,0.409,0.405,0.818,1.0,1.0,11.85,3.23,3.51,28.5,34.0,2.0
jetereu01,28.75,11.355028735632184,4.647208538587849,4.181465517241379,,2.875,3.0,1.3886288998357965,0.008333333333333333,,,,14.825,0.42075,0.35950000000000004,0.8417500000000001,4.0,0.0,,,,,,
johnsal01,30.666666666666668,6.445593869731802,0.44343434343434346,4.506548241030999,,5.3,0.6666666666666666,0.884604667363288,0.7246255660048764,,,21.066666666666666,9.833333333333334,0.5153333333333333,0.21433333333333335,0.652,3.0,0.0,,,,,,
johnsan02,29.25,5.965108157726693,1.3731441570881227,2.5951668263090677,,2.5250000000000004,4.325,,,,,23.5,7.925000000000001,0.43799999999999994,0.386,0.70575,4.0,0.0,,,,,,
johnsar02,33.666666666666664,11.53357100415924,2.3966131907308377,3.678847296494355,0.7647058823529411,3.6666666666666665,4.433333333333333,0.8211527035056446,0.24717765894236485,2.729055258467023,1.7941176470588236,34.5,14.233333333333334,0.4693333333333333,0.2876666666666667,0.7476666666666666,3.0,0.0,11.25,,3.19,31.5,38.5,18.0
johnsav01,31.333333333333332,6.033789507983056,1.1704301075268817,1.9655913978494624,,2.033333333333333,9.133333333333333,,,,,37.0,7.599999999999999,0.49499999999999994,0.38,0.6403333333333333,3.0,0.0,,,,,,
johnsbr01,27.25,7.041653865847415,1.869905273937532,3.279864311315924,,5.0,1.075,0.7390638334186721,0.42348523638846225,,,26.400000000000002,9.225,0.47100000000000003,0.337,0.57425,4.0,0.25,10.67,,3.08,26.5,32.5,13.0
