Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP,VORP_Max
anderal01,31.5,6.022020100195503,1.0343093230694036,3.5989613880742914,,4.15,2.45,0.8011271994134898,0.18139051808406648,,,26.85,9.4,0.4940000000000001,0.36175,0.8235000000000001,4.0,0.0,10.32,,3.27,26.5,30.5,10.0,0.6
anderan02,37.5,6.908239489489489,2.949117867867868,2.8042792792792794,,4.0,3.575,1.4524587087087089,0.32618243243243245,1.7986486486486486,,,8.5,0.41725,0.29925,0.6425,4.0,1.0,,,,,,,0.0
anderch01,29.0,7.379310344827586,0.8620689655172413,4.586206896551723,,7.7,0.7,,,,,21.7,10.1,0.505,0.24,0.526,1.0,0.0,,,,,,,2.0
anderde01,24.75,9.00272461456672,2.748837054758108,4.253787878787879,,3.925,3.375,1.910453216374269,0.15447235513024987,2.07067384370016,2.4689659755449234,25.75,13.075,0.4805,0.3475,0.8045,4.0,0.5,,,,,,,4.0
anderer01,32.75,9.488590263691684,0.5314401622718053,4.436359026369169,,6.324999999999998,0.9,,,,,29.975,13.2,0.51525,0.3216666666666667,0.7394999999999999,4.0,0.75,,,,,,,0.0
andergr01,30.75,10.353571428571428,,4.548214285714286,,8.775,0.525,1.1172619047619048,1.9077380952380956,2.130952380952381,2.6351190476190482,28.925,14.0,0.5389999999999999,,0.56325,4.0,0.0,,,,,,,0.4
anderja01,33.666666666666664,12.557575757575755,5.941702741702741,5.228571428571429,1.9393939393939397,5.066666666666666,1.6333333333333335,1.1082251082251082,0.5922077922077923,2.1015873015873017,2.6666666666666665,34.1,17.933333333333334,0.45799999999999996,0.376,0.7843333333333334,3.0,0.0,11.86,,3.19,30.0,35.5,14.0,0.2
anderju01,32.666666666666664,6.978507078507079,2.8808236808236813,2.754756954756955,0.7569448569448571,3.5,1.8333333333333333,0.6207801207801208,0.8317394317394317,1.2664191664191664,1.3738045738045737,24.46666666666667,9.2,0.431,0.3496666666666666,0.7533333333333333,3.0,0.6666666666666666,11.13,2.8800000000000003,3.22,38.0,43.0,12.0,0.1
anderke01,32.5,18.442857142857143,4.754761904761905,5.2023809523809526,,5.6,6.85,2.611904761904762,0.0761904761904762,3.8690476190476186,2.0928571428571425,38.3,23.25,0.476,0.3805,0.7809999999999999,2.0,0.0,,,,,,,5.5
anderky01,35.5,9.421825396825398,1.3484126984126985,4.254761904761905,1.6821428571428572,8.7,5.0,1.7746031746031743,0.8178571428571428,2.5706349206349204,1.8619047619047622,31.55,12.15,0.44799999999999995,0.34700000000000003,0.736,2.0,1.0,,,,,,,1.2
anderni01,34.5,12.672979797979801,1.0075757575757576,3.8737373737373737,,7.25,1.8,1.3522727272727273,0.8686868686868687,1.6830808080808082,2.018939393939394,29.4,16.95,0.5549999999999999,0.3485,0.6555,2.0,0.5,,,,,,,3.8
anderri01,25.0,10.749074074074075,,2.9838319088319087,,7.425000000000002,,,,,,27.025,11.9,0.44925,,0.6612499999999999,4.0,0.0,,,,,,,0.3
anderro01,34.0,12.706926406926408,,3.4043290043290044,,5.949999999999998,,1.5138528138528138,0.4809523809523809,2.100865800865801,2.451515151515152,36.75,16.950000000000006,0.5594999999999999,,0.8005,2.0,0.0,,,,,,,0.2
