PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Darius Johnson-Odom,SG,10.76,-,3.21,33.5,41.5,17
Darius Miller,SF-SG,11.34,-,3.31,33,37,14
Dion Waiters,SG,-,-,-,-,-,-
Doron Lamb,SG-PG,11.12,-,3.41,29,33.5,2
Draymond Green,PF-SF,11.01,-,3.4,28,33,9
Drew Gordon,PF,11.35,-,3.49,29,34,10
Fab Melo,C,12.14,-,3.44,29.5,31,9
Festus Ezeli,C-PF,12.35,-,3.29,34,33.5,18
Harrison Barnes,SF-SG,10.93,-,3.16,38,39.5,15
Henry Sims,C-PF,12.33,-,3.44,26.5,29.5,7
Hollis Thompson,SF,11.72,-,3.38,28.5,36.5,6
J'Covan Brown,PG,11.68,-,3.47,26,29.5,3
JaMychal Green,PF,10.63,-,3.38,29.5,32.5,19
Jae Crowder,SF,11.45,-,3.37,31,34.5,20
Jared Cunningham,SG-PG,-,-,-,-,-,4
Jared Sullinger,PF,12.77,-,3.81,29.5,31,9
Jeff Taylor,SF-SG,10.87,-,3.29,33.5,40,15
Jeremy Lamb,SG,10.98,-,3.25,31.5,38,5
John Henson,PF,-,-,-,25.5,30,5
John Jenkins,SG,11.36,-,3.37,30.5,36.5,10
Jordan Taylor,PG,10.57,-,3.19,33,36.5,14
Kendall Marshall,PG,12.03,-,3.23,31,37,-
Kevin Jones,PF,11.94,-,3.6,27.5,32.5,17
Kevin Murphy,SG,10.97,-,3.42,31,36.5,11
Khris Middleton,SF,11.45,-,3.47,28,31,4
Kim English,SG,10.59,-,3.33,29,36.5,-
Kris Joseph,SG,-,-,3.46,28.5,35,6
Kyle O'Quinn,PF,11.65,-,3.53,31.5,31.5,-
Marcus Denmon,SG,10.82,-,3.19,33.5,40,8
Marquis Teague,PG,10.65,-,3.19,32.5,40.5,8
Maurice Harkless,SF,10.87,-,3.25,32.5,37,5
Meyers Leonard,C,11.34,-,3.41,30,32.5,19
Michael Kidd-Gilchrist,SF,11.77,-,3.18,32,35.5,6
Mike Scott,PF,11.59,-,3.44,27,32.5,14
Miles Plumlee,PF-C,10.64,-,3.36,34,40.5,15
Orlando Johnson,SG,10.98,-,3.25,32,39.5,13
Perry Jones,PF-SF,11.31,-,3.19,33,38.5,11
Quincy Acy,PF,10.48,-,3.28,32,37,13
Quincy Miller,SF,11.05,-,3.48,30.5,36,8
Robbie Hummel,SF,11.56,-,3.41,27.5,30,13
Royce White,PF,-,-,-,-,-,-
Scott Machado,PG,11.26,-,3.3,27,32.5,17
Terrence Jones,PF-SF,11.57,-,3.4,29.5,34.5,12
Terrence Ross,SG-SF,11.78,-,3.28,31,37.5,2
Thomas Robinson,PF,11.96,-,3.17,28.5,35.5,15
Tomas Satoransky,PG-SG,-,-,-,-,-,-
Tony Mitchell,SG,11.72,-,3.47,31.5,40,14
Tony Wroten,PG,10.75,-,3.24,30,35.5,0
Tu Holloway,PG,11,-,3.42,28,35,12
Tyler Zeller,PF-C,11.13,-,3.4,30,34,16
Tyshawn Taylor,PG,11.48,-,3.2,32,36.5,0
Will Barton,SG-SF,12.5,-,3.6,30,34,0
William Buford,SG-SF,11.4,-,3.43,27.5,32.5,8
Alec Burks,SG,10.96,-,3.17,29,36,5
Andrew Goudelock,PG,10.33,-,3.1,32.5,37,4
Brandon Knight,PG,10.74,-,3.07,29,37.5,10
Chandler Parsons,SF,11.05,-,3.29,25.5,31.5,4
Charles Jenkins,PG-SG,11.68,-,3.18,29.5,34,16
Chris Singleton,SF,11.33,-,3.09,30.5,37.5,15
Cory Joseph,PG,10.75,-,3.27,27.5,35,5
Darius Morris,PG-SG,11,-,3.2,24.5,32,12
David Lighty,SG,10.81,-,3.25,28.5,33,15
DeAndre Liggins,SF-SG,-,-,3.33,27,31,6
Demetri McCamey,PG,11.55,-,3.19,27,33,-
Derrick Williams,PF-SF,11.03,-,3.23,29,34.5,19
E'Twaun Moore,SG,11.12,-,3.31,32,34.5,-
Enes Kanter,PF-C,11.3,-,3.26,26,32.5,14
Gregory Smith,PF-C,12.43,-,3.36,29.5,36,17
Iman Shumpert,PG-SG,11.1,-,3.18,36.5,42,18
Isaiah Thomas,PG,10.49,-,3.14,31.5,40,13
JaJuan Johnson,PF,11.21,-,3.14,33.5,38,15
James Fredette,PG,10.42,-,3.21,28,33,14
Jamie Skeen,PF,12.43,-,3.46,26,30.5,10
Jereme Richmond,SF,11.74,-,3.02,27,33.5,0
Jeremy Tyler,PF-C,11.26,-,3.29,28,33.5,10
Jimmy Butler,SF,11.12,-,3.15,32,39,14
Jon Diebler,SG,10.94,-,3.37,28,35,2
Jon Leuer,PF,10.82,-,3.36,29.5,36.5,14
Jordan Hamilton,SF,11.47,-,3.3,25,32,7
Jordan Williams,PF,12.74,-,3.45,25,30.5,10
Josh Selby,SG-PG,11.13,-,3.2,29.5,42,5
Justin Harper,PF-SF,11.92,-,3.3,28.5,33,19
Kawhi Leonard,SF,11.45,-,3.15,25.5,32,3
Keith Benson,C-PF,11.88,-,3.35,31.5,36,12
Kemba Walker,PG,10.87,-,3.16,32,39.5,7
Kenneth Faried,PF,11.35,-,3.26,30.5,35,16
Klay Thompson,SG,10.99,-,3.24,26.5,31.5,5
Kyle Singler,SF,11.22,-,3.21,23,30,10
Kyrie Irving,PG,-,-,-,-,-,-
LaceDarius Dunn,SG,11.45,-,3.27,26.5,31,3
Malcolm Lee,SG,11.2,-,3.09,30,35.5,17
Malcolm Thomas,PF,11.31,-,3.29,32,36.5,3
Marcus Morris,PF-SF,-,-,3.15,29,33,11
Markieff Morris,PF,-,-,3.4,27,31.5,11
Marshon Brooks,SG,10.74,-,3.09,34,38.5,5
Michael Dunigan,PF-C,11.85,-,3.27,29.5,34.5,10
Nikola Vucevic,PF-C,12.02,-,3.27,23.5,25,8
Nolan Smith,PG,11.05,-,3.17,28.5,34,9
Norris Cole,PG,10.07,-,3.22,29.5,38.5,11
Rick Jackson,PF,11.51,-,3.26,28.5,33,9
Scotty Hopson,SG,10.47,-,3.18,32.5,36,10
Shelvin Mack,PG,11.23,-,3.18,32,39,17
Tobias Harris,SF-PF,10.96,-,3.17,31.5,37.5,12
Travis Leslie,SG,11,-,3.13,33,40.5,10
Trey Thompkins,PF,11.72,-,3.41,27.5,30.5,15
Tristan Thompson,PF,10.92,-,3.26,30,35,9
Tyler Honeycutt,SF,11.68,-,3.07,30,37,-
Al-Farouq Aminu,SF,11.29,-,3.3,27,33.5,13
Andy Rautins,SG,11.27,-,3.49,23.5,30.5,8
Armon Johnson,PG-SG,11.25,-,3.19,31.5,38.5,18
Artsiom Parakhouski,C,12.07,-,3.33,25.5,26.5,16
Avery Bradley,SG-PG,11.47,-,3.14,31.5,37.5,2
Charles Garcia,SF,11.65,-,3.23,24.5,30.5,2
Cole Aldrich,C,11.48,-,3.35,23,28,10
Craig Brackins,PF-SF,11.65,-,3.39,26,35,6
Damion James,SF,10.89,-,3.2,29,33,13
